name,prompt,negative_prompt
Artificial Indoor Lighting,"Artificial Indoor Lighting, ",
Backlighting,"Backlighting, ",
Bright and Sunny,"Bright and Sunny, ",
Bright Festive Holiday Lights,"Bright Festive Holiday Lights, ",
Bright Stadium Lights,"Bright Stadium Lights, ",
Broad Lighting,"Broad Lighting, ",
Butterfly Lighting,"Butterfly Lighting, ",
Candlelit Dinner,"Candlelit Dinner, ",
Candlelit Scene,"Candlelit Scene, ",
Celestial Sky Illumination,"Celestial Sky Illumination, ",
City Lights,"City Lights, ",
Clamshell Lighting,"Clamshell Lighting, ",
Classic Chandelier,"Classic Chandelier, ",
Classic Gas Lamp,"Classic Gas Lamp, ",
Classic Oil Lamp,"Classic Oil Lamp, ",
Cool and Blue,"Cool and Blue, ",
Cozy Book Reading Nook,"Cozy Book Reading Nook, ",
Creepy Haunted House Lighting,"Creepy Haunted House Lighting, ",
Dappled Sunlight through Leaves,"Dappled Sunlight through Leaves, ",
Dazzling Disco Lights,"Dazzling Disco Lights, ",
Dim and Cozy,"Dim and Cozy, ",
Dramatic High Contrast Lighting,"Dramatic High Contrast Lighting, ",
Dramatic Opera House Lighting,"Dramatic Opera House Lighting, ",
Dramatic Spotlight,"Dramatic Spotlight, ",
Dreamlike Fairy Circle Lights,"Dreamlike Fairy Circle Lights, ",
Dreamy Moonlit Ocean,"Dreamy Moonlit Ocean, ",
Eerie Moonlit Graveyard,"Eerie Moonlit Graveyard, ",
Eerie Torchlight,"Eerie Torchlight, ",
Electric Disco Dance Floor,"Electric Disco Dance Floor, ",
Elegant Crystal Lighting,"Elegant Crystal Lighting, ",
Enchanted Garden Lanterns,"Enchanted Garden Lanterns, ",
Enchanting Bioluminescence,"Enchanting Bioluminescence, ",
Enveloping Fog Lights,"Enveloping Fog Lights, ",
Ethereal Moonlight,"Ethereal Moonlight, ",
Ethereal Starlit Sky,"Ethereal Starlit Sky, ",
Exotic Tiki Torches,"Exotic Tiki Torches, ",
Firelight Flicker,"Firelight Flicker, ",
Floating Chinese Lanterns,"Floating Chinese Lanterns, ",
Fluorescent Office Lighting,"Fluorescent Office Lighting, ",
Futuristic Laser Lights,"Futuristic Laser Lights, ",
Futuristic Neon Glow,"Futuristic Neon Glow, ",
Futuristic Spacecraft Lighting,"Futuristic Spacecraft Lighting, ",
Glimmering Disco Ball,"Glimmering Disco Ball, ",
Glimmering Water Reflections,"Glimmering Water Reflections, ",
Glistening Icicle Lights,"Glistening Icicle Lights, ",
Glistening Winter Frost,"Glistening Winter Frost, ",
Glittering Cityscape,"Glittering Cityscape, ",
Glowing Carnival Rides,"Glowing Carnival Rides, ",
Glowing Fireflies,"Glowing Fireflies, ",
Glowing Jack-o'-lanterns,"Glowing Jack-o'-lanterns, ",
Glowing Lighthouse Beacon,"Glowing Lighthouse Beacon, ",
